"","location","continent","date","people_fully_vaccinated","people_fully_vaccinated_per_hundred","new_cases","new_deaths","new_deaths_per_million"
"42","Afghanistan","Asia",2022-05-05,4668999,11.72,4,1,0.025
"43","Albania","Europe",2021-02-02,1,0,942,5,1.74
"44","Albania","Europe",2021-02-09,438,0.02,1239,16,5.569
"45","Albania","Europe",2021-02-17,611,0.02,1075,18,6.265
"46","Albania","Europe",2021-02-18,611,0.02,1112,17,5.917
"47","Albania","Europe",2021-02-22,655,0.02,1039,15,5.221
"48","Albania","Europe",2021-05-11,181586,6.32,50,4,1.392
"49","Albania","Europe",2021-05-12,187921,6.54,42,3,1.044
"50","Albania","Europe",2021-05-13,192936,6.72,45,3,1.044
"51","Albania","Europe",2021-05-14,204759,7.13,49,1,0.348
"52","Albania","Europe",2021-05-17,223103,7.77,17,3,1.044
"53","Albania","Europe",2021-05-18,228756,7.96,39,1,0.348
"54","Albania","Europe",2021-05-19,234409,8.16,24,2,0.696
"55","Albania","Europe",2021-05-20,237660,8.27,23,2,0.696
"56","Albania","Europe",2021-05-21,239677,8.34,35,1,0.348
"57","Albania","Europe",2021-05-23,243776,8.49,33,2,0.696
"58","Albania","Europe",2021-05-24,249898,8.7,6,1,0.348
"59","Albania","Europe",2021-05-26,269197,9.37,15,0,0
"60","Albania","Europe",2021-05-27,277255,9.65,20,0,0
"61","Albania","Europe",2021-05-30,287042,9.99,12,1,0.348
"62","Albania","Europe",2021-05-31,290333,10.11,6,1,0.348
"63","Albania","Europe",2021-06-01,293264,10.21,22,0,0
"64","Albania","Europe",2021-06-03,297271,10.35,9,0,0
"65","Albania","Europe",2021-06-06,306102,10.65,5,0,0
"66","Albania","Europe",2021-06-07,310336,10.8,5,1,0.348
"67","Albania","Europe",2021-06-08,315555,10.98,13,0,0
"68","Albania","Europe",2021-06-09,320532,11.16,18,0,0
"69","Albania","Europe",2021-06-10,324616,11.3,11,0,0
"70","Albania","Europe",2021-06-11,328546,11.44,11,1,0.348
"71","Albania","Europe",2021-06-12,331147,11.53,12,0,0
"72","Albania","Europe",2021-06-13,332173,11.56,10,0,0
"73","Albania","Europe",2021-06-14,334771,11.65,2,0,0
"74","Albania","Europe",2021-06-15,340576,11.85,8,1,0.348
"75","Albania","Europe",2021-06-16,344945,12.01,7,0,0
"76","Albania","Europe",2021-06-17,351453,12.23,5,0,0
"77","Albania","Europe",2021-06-20,365028,12.71,2,0,0
"78","Albania","Europe",2021-06-21,370378,12.89,0,0,0
"79","Albania","Europe",2021-06-22,375629,13.07,6,1,0.348
"80","Albania","Europe",2021-06-23,380649,13.25,1,0,0
"81","Albania","Europe",2021-06-24,385868,13.43,2,0,0
"82","Albania","Europe",2021-06-28,396139,13.79,1,0,0
"83","Albania","Europe",2021-06-29,399246,13.9,1,0,0
"84","Albania","Europe",2021-06-30,403504,14.05,7,0,0
"85","Albania","Europe",2021-07-01,407402,14.18,2,0,0
"86","Albania","Europe",2021-07-02,412147,14.35,3,0,0
"87","Albania","Europe",2021-07-04,416791,14.51,1,0,0
"88","Albania","Europe",2021-07-05,419894,14.62,2,0,0
"89","Albania","Europe",2021-07-06,423158,14.73,7,0,0
"90","Albania","Europe",2021-07-07,426111,14.83,13,0,0
"91","Albania","Europe",2021-07-08,429191,14.94,8,0,0
"92","Albania","Europe",2021-07-09,431722,15.03,15,0,0
"93","Albania","Europe",2021-07-10,434170,15.11,7,0,0
"94","Albania","Europe",2021-07-11,434926,15.14,5,0,0
"95","Albania","Europe",2021-07-12,438758,15.27,5,0,0
"96","Albania","Europe",2021-07-13,443165,15.43,11,0,0
"97","Albania","Europe",2021-07-14,448830,15.62,8,0,0
"98","Albania","Europe",2021-07-15,455131,15.84,13,0,0
"99","Albania","Europe",2021-07-16,460655,16.03,18,0,0
"100","Albania","Europe",2021-07-17,465434,16.2,18,0,0
"101","Albania","Europe",2021-07-18,466905,16.25,21,0,0
"102","Albania","Europe",2021-07-20,472886,16.46,43,0,0
"103","Albania","Europe",2021-07-21,478861,16.67,23,0,0
"104","Albania","Europe",2021-07-22,485295,16.89,34,0,0
"105","Albania","Europe",2021-07-25,498724,17.36,22,0,0
"106","Albania","Europe",2021-07-29,519013,18.07,47,0,0
"107","Albania","Europe",2021-07-30,525215,18.28,37,0,0
"108","Albania","Europe",2021-07-31,528718,18.4,45,0,0
"109","Albania","Europe",2021-08-01,530322,18.46,40,0,0
"110","Albania","Europe",2021-08-02,534823,18.62,25,0,0
"111","Albania","Europe",2021-08-03,538588,18.75,65,0,0
"112","Albania","Europe",2021-08-04,541637,18.85,99,0,0
"113","Albania","Europe",2021-08-05,545036,18.97,132,0,0
"114","Albania","Europe",2021-08-08,553482,19.27,182,0,0
"115","Albania","Europe",2021-08-10,560007,19.49,220,0,0
"116","Albania","Europe",2021-08-13,567455,19.75,379,1,0.348
"117","Albania","Europe",2021-08-15,570233,19.85,397,1,0.348
"118","Albania","Europe",2021-08-16,572816,19.94,200,2,0.696
"119","Albania","Europe",2021-08-17,575342,20.03,451,2,0.696
"120","Albania","Europe",2021-08-19,581242,20.23,522,2,0.696
"121","Albania","Europe",2021-08-21,587625,20.45,658,2,0.696
"122","Albania","Europe",2021-08-22,589253,20.51,534,1,0.348
"123","Albania","Europe",2021-08-23,594050,20.68,397,0,0
"124","Albania","Europe",2021-08-24,598949,20.85,800,2,0.696
"125","Albania","Europe",2021-08-25,603259,21,844,3,1.044
"126","Albania","Europe",2021-08-26,608539,21.18,888,3,1.044
"127","Albania","Europe",2021-08-27,615422,21.42,921,1,0.348
"128","Albania","Europe",2021-08-29,625809,21.78,768,2,0.696
"129","Albania","Europe",2021-08-30,633878,22.06,486,3,1.044
"130","Albania","Europe",2021-08-31,641920,22.34,1054,3,1.044
"131","Albania","Europe",2021-09-01,648637,22.58,982,3,1.044
"132","Albania","Europe",2021-09-02,655594,22.82,853,4,1.392
"133","Albania","Europe",2021-09-06,673951,23.46,502,4,1.392
"134","Albania","Europe",2021-09-07,681510,23.72,740,4,1.392
"135","Albania","Europe",2021-09-08,687854,23.94,1079,5,1.74
"136","Albania","Europe",2021-09-09,693421,24.14,998,3,1.044
"137","Albania","Europe",2021-09-10,698597,24.32,977,4,1.392
"138","Albania","Europe",2021-09-11,702833,24.46,869,4,1.392
"139","Albania","Europe",2021-09-12,704626,24.53,864,4,1.392
"140","Albania","Europe",2021-09-13,709343,24.69,410,5,1.74
"141","Albania","Europe",2021-09-14,713517,24.84,995,5,1.74
"142","Albania","Europe",2021-09-15,717404,24.97,992,4,1.392
"143","Albania","Europe",2021-09-16,721614,25.12,942,6,2.088
"144","Albania","Europe",2021-09-17,725838,25.26,959,6,2.088
"145","Albania","Europe",2021-09-19,731577,25.46,780,6,2.088
"146","Albania","Europe",2021-09-20,736594,25.64,451,7,2.437
"147","Albania","Europe",2021-09-21,741819,25.82,872,7,2.437
"148","Albania","Europe",2021-09-22,747441,26.02,820,7,2.437
"149","Albania","Europe",2021-09-23,754020,26.25,768,8,2.785
"150","Albania","Europe",2021-09-24,760960,26.49,826,10,3.481
"151","Albania","Europe",2021-09-27,776148,27.02,295,13,4.525
"152","Albania","Europe",2021-09-28,782578,27.24,594,15,5.221
"153","Albania","Europe",2021-09-29,788538,27.45,680,17,5.917
"154","Albania","Europe",2021-09-30,794878,27.67,669,13,4.525
"155","Albania","Europe",2021-10-01,800553,27.87,647,7,2.437
"156","Albania","Europe",2021-10-02,805420,28.03,549,5,1.74
"157","Albania","Europe",2021-10-04,811765,28.26,0,0,0
"158","Albania","Europe",2021-10-05,816459,28.42,824,12,4.177
"159","Albania","Europe",2021-10-06,820946,28.58,572,9,3.133
"160","Albania","Europe",2021-10-07,825110,28.72,533,12,4.177
"161","Albania","Europe",2021-10-08,828940,28.85,445,7,2.437
"162","Albania","Europe",2021-10-09,833070,29,475,6,2.088
"163","Albania","Europe",2021-10-11,834469,29.05,195,9,3.133
"164","Albania","Europe",2021-10-12,842316,29.32,501,6,2.088
"165","Albania","Europe",2021-10-13,845877,29.44,508,5,1.74
"166","Albania","Europe",2021-10-17,857201,29.84,435,10,3.481
"167","Albania","Europe",2021-10-18,860194,29.94,217,9,3.133
"168","Albania","Europe",2021-10-19,863314,30.05,616,12,4.177
"169","Albania","Europe",2021-10-20,866201,30.15,659,8,2.785
"170","Albania","Europe",2021-10-21,868964,30.25,566,6,2.088
"171","Albania","Europe",2021-10-22,871496,30.33,594,8,2.785
"172","Albania","Europe",2021-10-24,875773,30.48,444,4,1.392
"173","Albania","Europe",2021-10-25,878398,30.57,264,6,2.088
"174","Albania","Europe",2021-10-27,883307,30.75,672,5,1.74
"175","Albania","Europe",2021-10-28,885613,30.83,591,9,3.133
"176","Albania","Europe",2021-10-29,887865,30.9,467,7,2.437
"177","Albania","Europe",2021-11-01,891707,31.04,197,7,2.437
"178","Albania","Europe",2021-11-03,898625,31.28,571,3,1.044
"179","Albania","Europe",2021-11-06,904858,31.5,0,0,0
"180","Albania","Europe",2021-11-07,905876,31.53,1131,7,2.437
"181","Albania","Europe",2021-11-09,910845,31.7,770,4,1.392
"182","Albania","Europe",2021-11-10,913524,31.8,690,5,1.74
"183","Albania","Europe",2021-11-11,916432,31.9,625,3,1.044
"184","Albania","Europe",2021-11-14,924194,32.17,475,4,1.392
"185","Albania","Europe",2021-11-16,930527,32.39,587,7,2.437
"186","Albania","Europe",2021-11-17,933630,32.5,616,10,3.481
"187","Albania","Europe",2021-11-18,936539,32.6,549,8,2.785
"188","Albania","Europe",2021-11-21,942903,32.82,0,0,0
"189","Albania","Europe",2021-11-24,951371,33.11,609,10,3.481
"190","Albania","Europe",2021-11-25,953489,33.19,516,5,1.74
"191","Albania","Europe",2021-11-28,959555,33.4,418,4,1.392
"192","Albania","Europe",2021-11-30,961013,33.45,195,4,1.392
"193","Albania","Europe",2021-12-01,965964,33.62,228,5,1.74
"194","Albania","Europe",2021-12-03,971974,33.83,406,4,1.392
"195","Albania","Europe",2021-12-05,975573,33.96,328,1,0.348
"196","Albania","Europe",2021-12-06,978333,34.05,172,5,1.74
"197","Albania","Europe",2021-12-07,981170,34.15,393,7,2.437
"198","Albania","Europe",2021-12-08,982658,34.2,346,4,1.392
"199","Albania","Europe",2021-12-12,992353,34.54,263,2,0.696
"200","Albania","Europe",2021-12-13,995500,34.65,138,6,2.088
"201","Albania","Europe",2021-12-14,998326,34.75,376,4,1.392
"202","Albania","Europe",2021-12-15,1001189,34.85,326,8,2.785
"203","Albania","Europe",2021-12-18,1008465,35.1,325,3,1.044
"204","Albania","Europe",2021-12-21,1013806,35.29,376,6,2.088
"205","Albania","Europe",2021-12-23,1018549,35.45,319,1,0.348
"206","Albania","Europe",2021-12-28,1031132,35.89,643,13,4.525
"207","Albania","Europe",2022-01-04,1049525,36.53,1136,4,1.392
"208","Albania","Europe",2022-01-05,1053236,36.66,0,0,0
"209","Albania","Europe",2022-01-08,1060267,36.91,0,0,0
"210","Albania","Europe",2022-01-10,1064297,37.05,793,1,0.348
"211","Albania","Europe",2022-01-11,1067328,37.15,2177,6,2.088
"212","Albania","Europe",2022-01-30,1111520,38.69,1615,5,1.74
"213","Albania","Europe",2022-02-01,1156751,40.26,0,0,0
"214","Albania","Europe",2022-02-06,1166963,40.62,1452,9,3.133
"215","Albania","Europe",2022-02-07,1169470,40.71,251,7,2.437
"216","Albania","Europe",2022-02-13,1179476,41.05,457,3,1.044
"217","Albania","Europe",2022-02-14,1181246,41.12,296,4,1.392
"218","Albania","Europe",2022-02-15,1182883,41.17,187,6,2.088
"219","Albania","Europe",2022-02-16,1184292,41.22,449,3,1.044
"220","Albania","Europe",2022-02-20,1188503,41.37,260,5,1.74
"221","Albania","Europe",2022-02-27,1196277,41.64,386,6,2.088
"222","Albania","Europe",2022-03-01,1198759,41.73,139,3,1.044
"223","Albania","Europe",2022-03-07,1204250,41.92,40,1,0.348
"224","Albania","Europe",2022-03-10,1206964,42.01,67,1,0.348
"225","Albania","Europe",2022-03-14,1208831,42.08,26,0,0
"226","Albania","Europe",2022-03-15,1209791,42.11,22,1,0.348
"227","Albania","Europe",2022-03-24,1215199,42.3,93,0,0
"228","Albania","Europe",2022-03-29,1217699,42.39,97,1,0.348
"229","Albania","Europe",2022-03-31,1218665,42.42,69,0,0
"230","Albania","Europe",2022-04-04,1220014,42.47,43,0,0
"231","Albania","Europe",2022-04-07,1221185,42.51,53,0,0
"232","Albania","Europe",2022-04-11,1222698,42.56,0,0,0
"233","Albania","Europe",2022-04-14,1223943,42.6,56,1,0.348
"234","Albania","Europe",2022-04-20,1226046,42.68,71,0,0
"235","Albania","Europe",2022-04-24,1235239,43,37,0,0
"236","Algeria","Africa",2021-08-20,724812,1.62,578,28,0.628
"237","Algeria","Africa",2021-09-04,3e+06,6.72,351,26,0.583
"238","Algeria","Africa",2021-09-25,4032942,9.04,125,9,0.202
"239","Algeria","Africa",2021-10-24,4751933,10.65,72,4,0.09
"240","Algeria","Africa",2021-10-27,4796722,10.75,79,5,0.112
"241","Algeria","Africa",2021-10-30,4815027,10.79,88,5,0.112
"242","Algeria","Africa",2021-11-02,4872110,10.92,83,3,0.067
"243","Algeria","Africa",2021-11-08,4897288,10.98,98,5,0.112
"244","Algeria","Africa",2021-11-13,4930443,11.05,109,6,0.134
"245","Algeria","Africa",2021-11-21,5298544,11.88,113,4,0.09
"246","Algeria","Africa",2021-11-22,5314016,11.91,159,5,0.112
"247","Algeria","Africa",2021-11-25,5340231,11.97,161,6,0.134
"248","Algeria","Africa",2021-11-29,5380385,12.06,192,6,0.134
"249","Algeria","Africa",2021-11-30,5391232,12.08,187,7,0.157
"250","Algeria","Africa",2021-12-14,5554702,12.45,230,4,0.09
"251","Algeria","Africa",2021-12-21,5609040,12.57,310,8,0.179
"252","Algeria","Africa",2022-01-09,5796432,12.99,415,9,0.202
"253","Algeria","Africa",2022-02-08,6003539,13.46,610,13,0.291
"254","Algeria","Africa",2022-02-20,6076272,13.62,118,10,0.224
"255","Algeria","Africa",2022-03-09,6110712,13.7,23,2,0.045
"256","Algeria","Africa",2022-04-24,6481186,14.53,6,1,0.022
"257","Algeria","Africa",2022-05-01,6481186,14.53,2,0,0
"258","Andorra","Europe",2021-03-08,1172,1.52,27,0,0
"259","Andorra","Europe",2021-03-10,1264,1.63,41,0,0
"260","Andorra","Europe",2021-03-15,1265,1.64,23,0,0
"261","Andorra","Europe",2021-04-05,4484,5.8,55,0,0
"262","Andorra","Europe",2021-04-19,4681,6.05,0,0,0
"263","Andorra","Europe",2021-04-26,4681,6.05,23,0,0
"264","Andorra","Europe",2021-05-03,4699,6.07,13,0,0
"265","Andorra","Europe",2021-05-10,4702,6.08,6,0,0
"266","Andorra","Europe",2021-05-17,4704,6.08,45,0,0
"267","Andorra","Europe",2021-05-31,8303,10.73,34,0,0
"268","Andorra","Europe",2021-06-07,10938,14.14,19,0,0
"269","Andorra","Europe",2021-06-14,16416,21.22,13,0,0
"270","Andorra","Europe",2021-06-21,24598,31.8,22,0,0
"271","Andorra","Europe",2021-06-28,26613,34.4,0,0,0
"272","Andorra","Europe",2021-07-12,27010,34.92,80,0,0
"273","Andorra","Europe",2021-07-19,33904,43.83,86,0,0
"274","Andorra","Europe",2021-08-01,35573,45.99,0,0,0
"275","Andorra","Europe",2021-08-15,40616,52.51,0,0,0
"276","Andorra","Europe",2021-08-29,43008,55.6,0,0,0
"277","Andorra","Europe",2021-09-26,47720,61.69,0,0,0
"278","Andorra","Europe",2021-10-03,48309,62.45,0,0,0
"279","Andorra","Europe",2021-10-31,49535,64.04,0,0,0
"280","Andorra","Europe",2021-12-05,50333,65.07,0,0,0
"281","Andorra","Europe",2021-12-12,50551,65.35,0,0,0
"282","Andorra","Europe",2021-12-26,51392,66.44,0,0,0
"283","Andorra","Europe",2022-01-16,53046,68.58,0,0,0
"284","Andorra","Europe",2022-01-23,53104,68.65,0,0,0
"285","Andorra","Europe",2022-02-06,53208,68.79,0,0,0
"286","Andorra","Europe",2022-02-13,53250,68.84,0,0,0
"287","Andorra","Europe",2022-02-20,53301,68.91,0,0,0
"288","Andorra","Europe",2022-03-13,53367,68.99,0,0,0
"289","Andorra","Europe",2022-03-27,53389,69.02,0,0,0
"290","Andorra","Europe",2022-04-10,53406,69.04,0,0,0
"291","Andorra","Europe",2022-04-24,53414,69.05,0,0,0
"292","Angola","Africa",2021-05-12,40195,0.12,259,6,0.177
"293","Angola","Africa",2021-05-18,75215,0.22,258,8,0.236
"294","Angola","Africa",2021-05-21,126551,0.37,248,5,0.147
"295","Angola","Africa",2021-05-26,196930,0.58,405,7,0.206
"296","Angola","Africa",2021-05-31,230181,0.68,185,2,0.059
"297","Angola","Africa",2021-06-08,375630,1.11,150,3,0.088
"298","Angola","Africa",2021-06-10,447704,1.32,210,4,0.118
"299","Angola","Africa",2021-06-15,492266,1.45,131,6,0.177
"300","Angola","Africa",2021-06-20,513793,1.51,74,3,0.088
"301","Angola","Africa",2021-06-24,523580,1.54,89,3,0.088
"302","Angola","Africa",2021-06-28,544991,1.61,57,2,0.059
"303","Angola","Africa",2021-07-05,561688,1.66,70,2,0.059
"304","Angola","Africa",2021-07-12,599828,1.77,97,4,0.118
"305","Angola","Africa",2021-07-19,634164,1.87,101,12,0.354
"306","Angola","Africa",2021-08-03,710113,2.09,100,4,0.118
"307","Angola","Africa",2021-08-09,722610,2.13,85,4,0.118
"308","Angola","Africa",2021-08-16,727297,2.14,122,3,0.088
"309","Angola","Africa",2021-08-20,728311,2.15,258,5,0.147
"310","Angola","Africa",2021-08-25,731010,2.15,199,10,0.295
"311","Angola","Africa",2021-09-01,920570,2.71,237,10,0.295
"312","Angola","Africa",2021-09-11,958453,2.82,405,5,0.147
"313","Angola","Africa",2021-09-19,983587,2.9,0,0,0
"314","Angola","Africa",2021-09-26,1006732,2.97,326,14,0.413
"315","Angola","Africa",2021-10-08,1210969,3.57,220,10,0.295
"316","Angola","Africa",2021-10-14,1290152,3.8,242,3,0.088
"317","Angola","Africa",2021-10-18,1437397,4.24,170,6,0.177
"318","Angola","Africa",2021-10-20,1534757,4.52,143,4,0.118
"319","Angola","Africa",2021-10-26,1665947,4.91,103,1,0.029
"320","Angola","Africa",2021-11-02,1801831,5.31,29,0,0
"321","Angola","Africa",2021-11-07,1977343,5.83,20,1,0.029
"322","Angola","Africa",2021-11-11,2003907,5.91,42,2,0.059
"323","Angola","Africa",2021-11-18,2281768,6.72,17,0,0
"324","Angola","Africa",2021-11-21,2652808,7.82,13,0,0
"325","Angola","Africa",2021-11-24,2760266,8.13,19,1,0.029
"326","Angola","Africa",2021-12-02,3072475,9.05,25,0,0
"327","Angola","Africa",2021-12-06,3280340,9.67,0,0,0
"328","Angola","Africa",2021-12-09,3315757,9.77,14,1,0.029
"329","Angola","Africa",2021-12-15,3559041,10.49,134,0,0
"330","Angola","Africa",2021-12-23,3741250,11.03,1163,2,0.059
"331","Angola","Africa",2021-12-30,3929727,11.58,1396,4,0.118
"332","Angola","Africa",2022-01-06,3993302,11.77,989,10,0.295
"333","Angola","Africa",2022-01-08,4174988,12.3,476,10,0.295
"334","Angola","Africa",2022-01-12,4198940,12.37,759,2,0.059
"335","Angola","Africa",2022-01-14,4308880,12.7,721,5,0.147
"336","Angola","Africa",2022-01-23,4540048,13.38,680,2,0.059
"337","Angola","Africa",2022-01-28,4731866,13.94,128,0,0
"338","Angola","Africa",2022-02-02,4880035,14.38,41,0,0
"339","Angola","Africa",2022-02-09,5088239,14.99,29,0,0
"340","Angola","Africa",2022-02-15,5278086,15.55,41,1,0.029
"341","Angola","Africa",2022-02-22,5448403,16.06,13,0,0
"342","Angola","Africa",2022-03-02,5609044,16.53,0,0,0
"343","Angola","Africa",2022-03-08,5699666,16.8,23,0,0
"344","Angola","Africa",2022-03-17,5888639,17.35,18,0,0
"345","Angola","Africa",2022-03-25,5993792,17.66,21,0,0
"346","Angola","Africa",2022-04-01,6127137,18.06,25,0,0
"347","Angola","Africa",2022-04-26,6327907,18.65,0,0,0
"348","Anguilla","North America",2021-09-24,9086,60.07,14,0,0
"349","Anguilla","North America",2021-10-01,9156,60.54,16,0,0
"350","Anguilla","North America",2021-11-29,9156,60.54,52,0,0
"351","Anguilla","North America",2021-12-01,9213,60.91,0,0,0
"352","Anguilla","North America",2021-12-08,9223,60.98,0,0,0
"353","Anguilla","North America",2022-01-14,9282,61.37,98,0,0
"354","Anguilla","North America",2022-01-21,9318,61.61,0,0,0
"355","Anguilla","North America",2022-01-28,9336,61.73,54,1,66.116
"356","Anguilla","North America",2022-02-02,9351,61.82,0,0,0
"357","Anguilla","North America",2022-02-09,9418,62.27,22,0,0
"358","Anguilla","North America",2022-02-11,9418,62.27,0,0,0
"359","Anguilla","North America",2022-02-16,9500,62.81,9,0,0
"360","Anguilla","North America",2022-02-18,9500,62.81,0,0,0
"361","Anguilla","North America",2022-02-25,9531,63.01,0,0,0
"362","Anguilla","North America",2022-03-02,9549,63.13,0,0,0
"363","Anguilla","North America",2022-03-09,9562,63.22,0,0,0
"364","Anguilla","North America",2022-03-11,9562,63.22,0,0,0
"365","Anguilla","North America",2022-03-18,9603,63.49,0,0,0
"366","Anguilla","North America",2022-03-23,9624,63.63,0,0,0
"367","Anguilla","North America",2022-04-08,9874,65.28,0,0,0
"368","Anguilla","North America",2022-05-06,9955,65.82,0,0,0
"369","Antigua and Barbuda","North America",2021-05-17,2581,2.61,10,9,91.16
"370","Antigua and Barbuda","North America",2021-05-21,7050,7.14,0,0,0
"371","Antigua and Barbuda","North America",2021-05-25,9250,9.37,0,0,0
"372","Antigua and Barbuda","North America",2021-05-26,11354,11.5,0,0,0
"373","Antigua and Barbuda","North America",2021-05-27,12915,13.08,0,0,0
"374","Antigua and Barbuda","North America",2021-05-29,15133,15.33,0,0,0
"375","Antigua and Barbuda","North America",2021-05-31,16866,17.08,1,0,0
"376","Antigua and Barbuda","North America",2021-06-03,18179,18.41,0,0,0
"377","Antigua and Barbuda","North America",2021-06-06,21494,21.77,0,0,0
"378","Antigua and Barbuda","North America",2021-06-07,22896,23.19,0,0,0
"379","Antigua and Barbuda","North America",2021-06-09,23430,23.73,0,0,0
"380","Antigua and Barbuda","North America",2021-06-12,23844,24.15,0,0,0
"381","Antigua and Barbuda","North America",2021-06-15,24325,24.64,0,0,0
"382","Antigua and Barbuda","North America",2021-06-17,26593,26.94,0,0,0
"383","Antigua and Barbuda","North America",2021-06-20,27041,27.39,0,0,0
"384","Antigua and Barbuda","North America",2021-06-29,27563,27.92,0,0,0
"385","Antigua and Barbuda","North America",2021-07-01,27872,28.23,1,0,0
"386","Antigua and Barbuda","North America",2021-07-04,28004,28.36,0,0,0
"387","Antigua and Barbuda","North America",2021-07-06,28074,28.44,1,0,0
"388","Antigua and Barbuda","North America",2021-07-08,28251,28.61,1,0,0
"389","Antigua and Barbuda","North America",2021-07-09,28429,28.8,0,0,0
"390","Antigua and Barbuda","North America",2021-07-13,28611,28.98,0,0,0
"391","Antigua and Barbuda","North America",2021-07-15,28665,29.03,0,0,0
"392","Antigua and Barbuda","North America",2021-07-18,28808,29.18,0,0,0
"393","Antigua and Barbuda","North America",2021-07-20,28960,29.33,0,0,0
"394","Antigua and Barbuda","North America",2021-07-21,29024,29.4,0,0,0
"395","Antigua and Barbuda","North America",2021-07-22,30292,30.68,2,0,0
"396","Antigua and Barbuda","North America",2021-07-25,30430,30.82,0,0,0
"397","Antigua and Barbuda","North America",2021-07-28,30648,31.04,0,0,0
"398","Antigua and Barbuda","North America",2021-07-29,30704,31.1,7,0,0
"399","Antigua and Barbuda","North America",2021-08-02,30928,31.33,0,0,0
"400","Antigua and Barbuda","North America",2021-08-04,31056,31.46,8,0,0
"401","Antigua and Barbuda","North America",2021-08-07,31298,31.7,0,0,0
"402","Antigua and Barbuda","North America",2021-08-10,31414,31.82,0,0,0
"403","Antigua and Barbuda","North America",2021-08-14,32026,32.44,6,0,0
"404","Antigua and Barbuda","North America",2021-08-16,32248,32.66,0,0,0
"405","Antigua and Barbuda","North America",2021-08-19,32370,32.79,0,0,0
"406","Antigua and Barbuda","North America",2021-08-22,32816,33.24,0,0,0
"407","Antigua and Barbuda","North America",2021-08-24,33094,33.52,0,0,0
"408","Antigua and Barbuda","North America",2021-08-28,33391,33.82,40,0,0
"409","Antigua and Barbuda","North America",2021-08-30,33842,34.28,62,1,10.129
"410","Antigua and Barbuda","North America",2021-08-31,34008,34.45,2,0,0
"411","Antigua and Barbuda","North America",2021-09-07,35059,35.51,82,1,10.129
"412","Antigua and Barbuda","North America",2021-09-10,35709,36.17,0,0,0
"413","Antigua and Barbuda","North America",2021-09-13,35973,36.44,131,0,0
